id,question,start_date,end_date,volume,liquidity,outcomes_summary,closed
549327,"Will the chopsticks catch SpaceX Starship Flight Test 10 Superheavy booster?",2025-06-02T21:33:01.953Z,2025-06-30T00:00:00Z,15319.111731,1427.1367,"Yes: 58.0% | No: 42.0%",false
544933,"Will the NYC Mayoral Democratic Primary be decided in round 8?",2025-05-16T14:44:47.953235Z,2025-06-24T12:00:00Z,152230.807784,8831.59058,"Yes: 0.1% | No: 100.0%",false
544932,"Will the NYC Mayoral Democratic Primary be decided in round 7?",2025-05-16T14:44:44.131352Z,2025-06-24T12:00:00Z,150510.591747,4030.30975,"Yes: 0.1% | No: 100.0%",false
544934,"Will the NYC Mayoral Democratic Primary be decided in round 9?",2025-05-16T14:44:49.166626Z,2025-06-24T12:00:00Z,149260.859073,11157.65023,"Yes: 0.1% | No: 100.0%",false
552011,"Will Scott Stringer finish third in the 2025 New York City Mayoral Democratic Primary?",2025-06-12T21:24:30.670263Z,2025-06-24T00:00:00Z,14909.266544,8562.12428,"Yes: 0.1% | No: 100.0%",false
552033,"Zohran Mamdani gets the most first-choice votes in the 2025 New York City Mayoral Democratic Primary?",2025-06-13T18:39:24.075985Z,2025-06-24T00:00:00Z,1432178.297001,80835.78287,"Yes: 99.9% | No: 0.1%",false
544926,"Will the NYC Mayoral Democratic Primary be decided in round 1?",2025-05-16T14:44:38.496287Z,2025-06-24T12:00:00Z,142862.407823,5422.76831,"Yes: 0.2% | No: 99.8%",false
551965,"Will Iran enrich uranium to 90% before August?",2025-06-12T19:40:52.754837Z,2025-06-30T00:00:00Z,142014.891686,5634.53615,"Yes: 0.9% | No: 99.2%",false
544930,"Will the NYC Mayoral Democratic Primary be decided in round 5?",2025-05-16T14:44:44.638526Z,2025-06-24T12:00:00Z,134505.316099,11170.70755,"Yes: 0.1% | No: 100.0%",false
544931,"Will the NYC Mayoral Democratic Primary be decided in round 6?",2025-05-16T14:44:44.385264Z,2025-06-24T12:00:00Z,132040.461112,13299.41714,"Yes: 0.1% | No: 100.0%",false
552048,"Will Andrew Cuomo’s RCV margin of victory be greater than 9% in the New York City Mayoral Democratic Primary?",2025-06-12T22:55:06.620922Z,2025-06-24T00:00:00Z,129300.047877,10215.6997,"Yes: 0.1% | No: 100.0%",false
544936,"Will the NYC Mayoral Democratic Primary be decided in round 11?",2025-05-16T14:44:48.913024Z,2025-06-24T12:00:00Z,128749.007301,9075.29775,"Yes: 0.1% | No: 100.0%",false
544940,"Will Andrew Cuomo’s RCV margin of victory be less than 5%?",2025-05-16T14:44:53.252844Z,2025-06-24T12:00:00Z,126620.831825,14457.03315,"Yes: 99.8% | No: 0.2%",false
552016,"Will Paperboy Prince finish third in the 2025 New York City Mayoral Democratic Primary?",2025-06-12T21:24:30.923204Z,2025-06-24T00:00:00Z,11825.1205,22134.42421,"Yes: 0.3% | No: 99.8%",false
552053,"Will Zohran Mamdani’s RCV margin of victory be between 3% and 6% in the New York City Mayoral Democratic Primary?",2025-06-12T22:55:12.892335Z,2025-06-24T00:00:00Z,116658.124845,30295.07835,"Yes: 0.1% | No: 100.0%",false
554646,"Will turnout be between 1100000 and 1200000 in the NYC Democratic mayoral primary?",2025-06-21T22:00:17.642526Z,2025-06-24T00:00:00Z,109991.470957,3642.38567,"Yes: 0.2% | No: 99.8%",false
552015,"Will Whitney Tilson finish third in the 2025 New York City Mayoral Democratic Primary?",2025-06-12T21:24:32.73757Z,2025-06-24T00:00:00Z,10919.5375,18080.93533,"Yes: 0.3% | No: 99.8%",false
554536,"Will Andrew Cuomo's first round margin of victory be between 15% and 20%?",2025-06-20T22:48:42.812386Z,2025-06-24T00:00:00Z,10823.814422,5177.20712,"Yes: 0.1% | No: 99.9%",false
554581,"Will Zohran Madani’s vote share be between 28% and 32% in the first round of the NYC Democratic mayoral primary?",2025-06-20T22:43:07.745522Z,2025-06-24T00:00:00Z,10257.359233,12576.68096,"Yes: 0.1% | No: 99.9%",false
544937,"Will the NYC Mayoral Democratic Primary be decided in round 12 or later?",2025-05-16T14:44:52.277079Z,2025-06-24T12:00:00Z,101697.095414,14304.85882,"Yes: 0.1% | No: 100.0%",false
